system:index,LST_C,Latitude,Longitude,NDVI,.geo,Humidity,Predicted_Temperature,LST_norm,NDVI_norm,Humidity_norm,UTEI
000000000000000001de_0,36.44333333333333,12.9837550432573,80.18106206194875,0.04197531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,12.985147431947684]}",60,37.03362821893634,0.9901334881021415,0.2660744518710269,0.0,0.7240590362311146
0000000000000000026b_0,36.43000000000001,12.982677064916354,80.16740766963014,0.04511278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,12.985147431947684]}",60,37.01047108831512,0.9889727219965132,0.27017657989758137,0.0,0.7187961420989318
000000000000000005e8_0,32.920000000000016,13.198811722275511,80.25229846397943,-0.16152897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25099590681745,13.20074310013637]}",60,38.284302024059684,0.6834010446894916,0.0,0.0,0.6834010446894916
000000000000000010a3_0,34.10000000000002,13.147877245665937,80.2235523748876,-0.08067068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,13.146844183089197]}",60,37.774774788813836,0.7861288450377217,0.10571927622838466,0.0,0.6804095688093371
00000000000000000540_0,34.860000000000014,12.980790602819704,80.15887367443099,0.004192872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,12.985147431947684]}",60,37.212602557892396,0.852292513058615,0.2166752869925238,0.0,0.6356172260660912
00000000000000000609_0,35.190000000000055,13.067927185379297,80.21115562396675,0.028894847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,13.06599580751844]}",60,37.05519716421705,0.8810214741729538,0.24897222177078404,0.0,0.6320492524021698
0000000000000000071a_0,34.89000000000004,12.981419423518586,80.20127415584143,0.013664597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.985147431947684]}",60,37.1467174481908,0.8549042367962842,0.2290592232795056,0.0,0.6258450135167787
00000000000000001252_0,36.55666666666673,12.994085669024672,80.17755863234068,0.12569112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,12.994130584788879]}",60,36.44260647514948,1.0,0.37552983167281306,0.0,0.6244701683271869
0000000000000000034b_0,33.610000000000014,13.157489219206012,80.20163348195508,-0.06902414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20608014261148,13.155827335930393]}",60,37.66358126950777,0.7434706906558293,0.12094670410702185,0.0,0.6225239865488075
00000000000000000bf8_0,34.73000000000002,13.061459315333636,80.19633342177877,0.008393286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,13.057012654677246]}",60,37.175176037986624,0.8409750435287253,0.22216717567752536,0.0,0.6188078678511999
00000000000000000c1f_0,35.24000000000001,13.091732540408463,80.1798942520794,0.043797854,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,13.092945266042026]}",60,36.951692412569216,0.8853743470690612,0.26845736192977765,0.0,0.6169169851392835
0000000000000000003a_0,34.56333333333333,13.009716354968353,80.16695851198807,0.00014411299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,13.01209689047127]}",60,37.22450696108744,0.8264654672083522,0.211381681696637,0.0,0.6150837855117153
000000000000000005f0_0,32.610000000000014,13.169077486371156,80.25256795856465,-0.1296426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25099590681745,13.164810488771588]}",60,38.03895916174322,0.6564132327336005,0.041690270199264384,0.0,0.6147229625343361
00000000000000000117_0,34.78333333333336,13.113292107227332,80.25445442066132,0.017070979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25099590681745,13.110911571724417]}",60,37.11629480102656,0.8456181079512453,0.23351294397527345,0.0,0.6121051639759718
