system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000000b31_0,32.56200000000001,12.801397040581035,79.81140532253356,0.27220955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81082141759889,12.805484375123779]}"
000000000000000005f9_0,32.80000000000001,12.801576703637858,80.03571464897821,0.25765765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03540023862877,12.805484375123779]}"
00000000000000000a31_0,31.05857142857144,12.801576703637858,79.97992926983439,0.25146198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.805484375123779]}"
00000000000000001070_0,31.810000000000002,12.801576703637858,80.01271777770475,0.46210787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.805484375123779]}"
00000000000000000213_0,31.950000000000045,12.801666535166271,80.02996543115984,0.17259692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.02641708578757,12.805484375123779]}"
00000000000000000eae_0,32.82333333333332,12.801666535166271,79.93159990754876,0.16791259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92760240453443,12.805484375123779]}"
00000000000000000c3a_0,30.876666666666722,12.801756366694683,80.04667409544447,0.26198083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04438339146996,12.805484375123779]}"
000000000000000007bb_0,30.45285714285717,12.80211569280833,80.2137607382907,0.48232937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.805484375123779]}"
000000000000000005c3_0,29.825000000000045,12.802475018921978,80.1641737346073,0.38807946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,12.805484375123779]}"
00000000000000000286_0,32.85500000000002,12.802654681978803,79.85254816254624,0.33533835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85573718180487,12.805484375123779]}"
00000000000000001272_0,32.03000000000003,12.802654681978803,80.00346513027831,0.33219373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.999467627264,12.805484375123779]}"
0000000000000000017f_0,32.85500000000002,12.802744513507214,79.85236849948942,0.29508662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85573718180487,12.805484375123779]}"
00000000000000000a3b_0,32.85500000000002,12.802744513507214,79.85578209756906,0.22880772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85573718180487,12.805484375123779]}"
00000000000000000284_0,32.27000000000004,12.802834345035626,79.84033107468221,0.19854611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83777087612248,12.805484375123779]}"
000000000000000008a8_0,30.870000000000005,12.802924176564039,80.0574538788539,0.482207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.805484375123779]}"
00000000000000000bb9_0,32.235000000000014,12.803193671149273,79.82119695913046,0.3765586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81980457044008,12.805484375123779]}"
00000000000000000da1_0,30.83571428571429,12.803193671149273,79.96052565969741,0.14707197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96353501589921,12.805484375123779]}"
00000000000000000cb5_0,31.83000000000004,12.80346316573451,80.1039866105713,0.47012717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.805484375123779]}"
00000000000000000f56_0,30.04000000000002,12.80346316573451,80.15563973940816,0.019524014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,12.805484375123779]}"
000000000000000008b1_0,30.876666666666722,12.803552997262921,80.04065538304087,0.34455803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04438339146996,12.805484375123779]}"
00000000000000000fb4_0,31.527142857142906,12.803642828791334,80.08134906541147,0.19508258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08031600283475,12.805484375123779]}"
000000000000000012c1_0,31.340000000000032,12.803642828791334,80.19750123164813,0.46936256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.805484375123779]}"
000000000000000002ee_0,33.858000000000004,12.803732660319746,79.89009774142244,0.21391076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89166979316965,12.805484375123779]}"
00000000000000000152_0,30.332857142857165,12.803822491848157,80.22022860833636,0.41467834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,12.805484375123779]}"
000000000000000002d6_0,31.340000000000032,12.803822491848157,80.19561476955148,0.2940808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.805484375123779]}"
00000000000000000e4e_0,30.941428571428617,12.804091986433393,80.20262162876762,0.29227558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20608014261148,12.805484375123779]}"
00000000000000000ea1_0,30.45285714285717,12.804181817961805,80.21429972746117,0.40660778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.805484375123779]}"
00000000000000000712_0,29.825000000000045,12.80436148101863,80.16013131582876,0.47956988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,12.805484375123779]}"
000000000000000008d0_0,30.45285714285717,12.804451312547041,80.21241326536452,0.324079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.805484375123779]}"
000000000000000010e0_0,30.332857142857165,12.804541144075452,80.22256422807507,0.36034912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,12.805484375123779]}"
0000000000000000131b_0,31.810000000000002,12.804541144075452,80.0085855273978,0.17015927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.805484375123779]}"
00000000000000000682_0,30.870000000000005,12.804720807132277,80.04954870435365,0.35765213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.805484375123779]}"
000000000000000011f7_0,32.75000000000006,12.804810638660689,79.84661928167105,0.4603917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.84675402896367,12.805484375123779]}"
00000000000000000c8a_0,34.285000000000025,12.805080133245925,79.89818257897952,0.024850043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90065294601084,12.805484375123779]}"
00000000000000000c8f_0,33.858000000000004,12.805169964774336,79.89521813854192,0.01734104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89166979316965,12.805484375123779]}"
0000000000000000049b_0,32.0214285714286,12.80525979630275,79.9484882348902,0.24215512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94556871021682,12.805484375123779]}"
00000000000000000fba_0,30.04000000000002,12.80525979630275,80.14890237477726,0.19140165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,12.805484375123779]}"
0000000000000000009b_0,30.04000000000002,12.805349627831161,80.15393294036834,0.006954103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,12.805484375123779]}"
000000000000000001b5_0,30.147500000000036,12.805349627831161,80.16902463714155,0.28462887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,12.805484375123779]}"
000000000000000004e3_0,34.285000000000025,12.805439459359572,79.9018656716444,-0.015246015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90065294601084,12.805484375123779]}"
000000000000000010eb_0,30.55000000000001,12.805439459359572,80.13982939040766,0.30295497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14319807272311,12.805484375123779]}"
00000000000000000ce6_0,31.340000000000032,12.80579878547322,80.18267902946016,0.23289391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,12.805484375123779]}"
000000000000000002b4_0,31.436666666666724,12.805888617001633,80.19076386701724,0.15188172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18811383692909,12.805484375123779]}"
00000000000000001154_0,33.858000000000004,12.805888617001633,79.89512830701351,0.014760148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89166979316965,12.805484375123779]}"
000000000000000003ce_0,31.527142857142906,12.806068280058456,80.07937277178641,0.20217998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08031600283475,12.805484375123779]}"
000000000000000008a3_0,32.82333333333332,12.806068280058456,79.9304320976794,0.31511953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92760240453443,12.805484375123779]}"
000000000000000004ed_0,32.56200000000001,12.806337774643692,79.80664425152773,0.07929969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81082141759889,12.805484375123779]}"
000000000000000009a1_0,32.84666666666669,12.806337774643692,80.08628979947414,0.36096615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08929915567595,12.805484375123779]}"
000000000000000007bd_0,31.05857142857144,12.806427606172104,79.9815462373458,0.25045928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.805484375123779]}"
00000000000000000ddb_0,30.147500000000036,12.806427606172104,80.17198907757914,0.47389033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,12.805484375123779]}"
